i	rgb	r	g	b	maxRGB	minRGB	c	h	theta
1	0,0,0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0,0,0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0,0,0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	24,15,12	0.09411764705882353	0.058823529411764705	0.047058823529411764	0.09411764705882353	0.047058823529411764	0.047058823529411764	15.0	0.2617993877991494
5	21,16,13	0.08235294117647059	0.06274509803921569	0.050980392156862744	0.08235294117647059	0.050980392156862744	0.03137254901960784	22.5	0.39269908169872414
6	20,15,12	0.0784313725490196	0.058823529411764705	0.047058823529411764	0.0784313725490196	0.047058823529411764	0.03137254901960784	22.5	0.39269908169872414
7	154,137,120	0.6039215686274509	0.5372549019607843	0.47058823529411764	0.6039215686274509	0.47058823529411764	0.1333333333333333	30.0	0.5235987755982988
8	114,89,74	0.4470588235294118	0.34901960784313724	0.2901960784313726	0.4470588235294118	0.2901960784313726	0.1568627450980392	22.499999999999982	0.39269908169872386
9	0,0,0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	159,147,131	0.6235294117647059	0.5764705882352941	0.5137254901960784	0.6235294117647059	0.5137254901960784	0.1098039215686275	34.28571428571427	0.5983986006837698
11	81,68,64	0.3176470588235294	0.26666666666666666	0.25098039215686274	0.3176470588235294	0.25098039215686274	0.06666666666666665	14.117647058823533	0.24639942381096422
12	72,54,51	0.2823529411764706	0.21176470588235294	0.2	0.2823529411764706	0.2	0.08235294117647057	8.571428571428562	0.14959965017094237
13	134,121,110	0.5254901960784314	0.4745098039215686	0.43137254901960786	0.5254901960784314	0.43137254901960786	0.09411764705882353	27.49999999999997	0.4799655442984401
14	119,104,95	0.4666666666666667	0.40784313725490196	0.37254901960784315	0.4666666666666667	0.37254901960784315	0.09411764705882353	22.49999999999999	0.392699081698724
15	5,3,3	0.0196078431372549	0.011764705882352941	0.011764705882352941	0.0196078431372549	0.011764705882352941	0.00784313725490196	0.0	0.0
16	68,56,53	0.26666666666666666	0.2196078431372549	0.20784313725490197	0.26666666666666666	0.20784313725490197	0.05882352941176469	11.99999999999999	0.20943951023931937
17	158,148,132	0.6196078431372549	0.5803921568627451	0.5176470588235295	0.6196078431372549	0.5176470588235295	0.10196078431372546	36.923076923076934	0.6444292622748296
18	78,79,79	0.3058823529411765	0.30980392156862746	0.30980392156862746	0.30980392156862746	0.3058823529411765	0.0039215686274509665	180.0	3.141592653589793
19	51,50,52	0.2	0.19607843137254902	0.20392156862745098	0.20392156862745098	0.19607843137254902	0.00784313725490196	270.0000000000001	4.7123889803846915
20	83,81,69	0.3254901960784314	0.3176470588235294	0.27058823529411763	0.3254901960784314	0.27058823529411763	0.05490196078431375	51.4285714285714	0.8975979010256547
21	63,63,58	0.24705882352941178	0.24705882352941178	0.22745098039215686	0.24705882352941178	0.22745098039215686	0.019607843137254916	60.0	1.0471975511965976
22	82,76,69	0.3215686274509804	0.2980392156862745	0.27058823529411763	0.3215686274509804	0.27058823529411763	0.050980392156862786	32.3076923076923	0.5638756044904756
23	103,98,87	0.403921568627451	0.3843137254901961	0.3411764705882353	0.403921568627451	0.3411764705882353	0.06274509803921569	41.250000000000014	0.7199483164476612
24	110,93,83	0.43137254901960786	0.36470588235294116	0.3254901960784314	0.43137254901960786	0.3254901960784314	0.10588235294117648	22.222222222222204	0.38785094488762845
25	92,93,85	0.3607843137254902	0.36470588235294116	0.3333333333333333	0.36470588235294116	0.3333333333333333	0.03137254901960784	67.49999999999997	1.178097245096172
26	63,54,51	0.24705882352941178	0.21176470588235294	0.2	0.24705882352941178	0.2	0.047058823529411764	14.999999999999982	0.26179938779914913
27	63,59,53	0.24705882352941178	0.23137254901960785	0.20784313725490197	0.24705882352941178	0.20784313725490197	0.0392156862745098	36.0	0.6283185307179586
28	85,83,72	0.3333333333333333	0.3254901960784314	0.2823529411764706	0.3333333333333333	0.2823529411764706	0.05098039215686273	50.7692307692308	0.8860902356278909
29	31,30,34	0.12156862745098039	0.11764705882352941	0.13333333333333333	0.13333333333333333	0.11764705882352941	0.01568627450980392	255.0	4.4505895925855405
30	144,128,111	0.5647058823529412	0.5019607843137255	0.43529411764705883	0.5647058823529412	0.43529411764705883	0.12941176470588234	30.909090909090907	0.5394654051618837
31	112,108,91	0.4392156862745098	0.4235294117647059	0.3568627450980392	0.4392156862745098	0.3568627450980392	0.08235294117647057	48.57142857142857	0.8477313509686744
32	31,48,50	0.12156862745098039	0.18823529411764706	0.19607843137254902	0.19607843137254902	0.12156862745098039	0.07450980392156863	186.3157894736842	3.251823974768382
33	36,43,39	0.1411764705882353	0.16862745098039217	0.15294117647058825	0.16862745098039217	0.1411764705882353	0.027450980392156876	145.71428571428572	2.5431940529060233
34	26,30,25	0.10196078431372549	0.11764705882352941	0.09803921568627451	0.11764705882352941	0.09803921568627451	0.0196078431372549	108.0	1.8849555921538759
35	66,65,56	0.25882352941176473	0.2549019607843137	0.2196078431372549	0.25882352941176473	0.2196078431372549	0.03921568627450983	53.99999999999994	0.9424777960769369
36	33,32,27	0.12941176470588237	0.12549019607843137	0.10588235294117647	0.12941176470588237	0.10588235294117647	0.023529411764705896	49.99999999999997	0.8726646259971643
37	55,51,45	0.21568627450980393	0.2	0.17647058823529413	0.21568627450980393	0.17647058823529413	0.0392156862745098	36.0	0.6283185307179586
38	102,96,82	0.4	0.3764705882352941	0.3215686274509804	0.4	0.3215686274509804	0.0784313725490196	41.99999999999998	0.733038285837618
39	32,35,31	0.12549019607843137	0.13725490196078433	0.12156862745098039	0.13725490196078433	0.12156862745098039	0.015686274509803935	105.00000000000001	1.8325957145940464
40	129,137,121	0.5058823529411764	0.5372549019607843	0.4745098039215686	0.5372549019607843	0.4745098039215686	0.06274509803921569	90.0	1.5707963267948966
41	88,83,73	0.34509803921568627	0.3254901960784314	0.28627450980392155	0.34509803921568627	0.28627450980392155	0.05882352941176472	40.000000000000014	0.698131700797732
42	72,68,59	0.2823529411764706	0.26666666666666666	0.23137254901960785	0.2823529411764706	0.23137254901960785	0.05098039215686273	41.53846153846153	0.724982920059183
43	45,51,43	0.17647058823529413	0.2	0.16862745098039217	0.2	0.16862745098039217	0.03137254901960784	105.0	1.8325957145940461
44	24,29,25	0.09411764705882353	0.11372549019607843	0.09803921568627451	0.11372549019607843	0.09411764705882353	0.0196078431372549	132.0	2.303834612632515
45	22,29,29	0.08627450980392157	0.11372549019607843	0.11372549019607843	0.11372549019607843	0.08627450980392157	0.027450980392156862	180.0	3.141592653589793
46	52,62,53	0.20392156862745098	0.24313725490196078	0.20784313725490197	0.24313725490196078	0.20392156862745098	0.0392156862745098	126.00000000000003	2.1991148575128556
47	45,44,37	0.17647058823529413	0.17254901960784313	0.1450980392156863	0.17647058823529413	0.1450980392156863	0.03137254901960784	52.49999999999997	0.9162978572970225
48	100,100,86	0.39215686274509803	0.39215686274509803	0.33725490196078434	0.39215686274509803	0.33725490196078434	0.0549019607843137	60.0	1.0471975511965976
49	35,39,36	0.13725490196078433	0.15294117647058825	0.1411764705882353	0.15294117647058825	0.13725490196078433	0.01568627450980392	134.99999999999994	2.356194490192344
50	32,41,38	0.12549019607843137	0.1607843137254902	0.14901960784313725	0.1607843137254902	0.12549019607843137	0.03529411764705884	160.0	2.792526803190927
51	42,44,41	0.16470588235294117	0.17254901960784313	0.1607843137254902	0.17254901960784313	0.1607843137254902	0.011764705882352927	100.00000000000004	1.7453292519943302
52	35,37,31	0.13725490196078433	0.1450980392156863	0.12156862745098039	0.1450980392156863	0.12156862745098039	0.023529411764705896	79.99999999999999	1.3962634015954634
53	89,93,79	0.34901960784313724	0.36470588235294116	0.30980392156862746	0.36470588235294116	0.30980392156862746	0.0549019607843137	77.14285714285715	1.346396851538483
54	25,24,23	0.09803921568627451	0.09411764705882353	0.09019607843137255	0.09803921568627451	0.09019607843137255	0.00784313725490196	30.0	0.5235987755982988
