i	rgb	r	g	b	maxRGB	minRGB	c	h	theta
1	0,0,0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0,0,0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0,0,0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	38,20,9	0.14901960784313725	0.0784313725490196	0.03529411764705882	0.14901960784313725	0.03529411764705882	0.11372549019607843	22.75862068965517	0.3972128642469853
5	83,41,8	0.3254901960784314	0.1607843137254902	0.03137254901960784	0.3254901960784314	0.03137254901960784	0.29411764705882354	26.4	0.460766922526503
6	53,49,41	0.20784313725490197	0.19215686274509805	0.1607843137254902	0.20784313725490197	0.1607843137254902	0.047058823529411764	40.0	0.6981317007977318
7	19,12,11	0.07450980392156863	0.047058823529411764	0.043137254901960784	0.07450980392156863	0.043137254901960784	0.03137254901960784	7.5	0.1308996938995747
8	3,3,3	0.011764705882352941	0.011764705882352941	0.011764705882352941	0.011764705882352941	0.011764705882352941	0.0	0.0	0.0
9	4,4,4	0.01568627450980392	0.01568627450980392	0.01568627450980392	0.01568627450980392	0.01568627450980392	0.0	0.0	0.0
10	30,34,43	0.11764705882352941	0.13333333333333333	0.16862745098039217	0.16862745098039217	0.11764705882352941	0.05098039215686276	221.53846153846155	3.8665755736489764
11	43,31,26	0.16862745098039217	0.12156862745098039	0.10196078431372549	0.16862745098039217	0.10196078431372549	0.06666666666666668	17.64705882352941	0.30799927976370517
12	67,48,41	0.2627450980392157	0.18823529411764706	0.1607843137254902	0.2627450980392157	0.1607843137254902	0.10196078431372549	16.153846153846146	0.28193780224523773
13	63,44,39	0.24705882352941178	0.17254901960784313	0.15294117647058825	0.24705882352941178	0.15294117647058825	0.09411764705882353	12.499999999999991	0.21816615649929103
14	70,46,39	0.27450980392156865	0.1803921568627451	0.15294117647058825	0.27450980392156865	0.15294117647058825	0.1215686274509804	13.548387096774185	0.23646396317342513
15	65,44,38	0.2549019607843137	0.17254901960784313	0.14901960784313725	0.2549019607843137	0.14901960784313725	0.10588235294117646	13.333333333333334	0.23271056693257727
16	79,79,71	0.30980392156862746	0.30980392156862746	0.2784313725490196	0.30980392156862746	0.2784313725490196	0.03137254901960784	60.0	1.0471975511965976
17	125,130,106	0.49019607843137253	0.5098039215686274	0.41568627450980394	0.5098039215686274	0.41568627450980394	0.09411764705882347	72.5	1.265363707695889
18	70,69,63	0.27450980392156865	0.27058823529411763	0.24705882352941178	0.27450980392156865	0.24705882352941178	0.027450980392156876	51.42857142857134	0.8975979010256536
19	43,39,42	0.16862745098039217	0.15294117647058825	0.16470588235294117	0.16862745098039217	0.15294117647058825	0.01568627450980392	315.00000000000006	5.497787143782139
20	55,48,51	0.21568627450980393	0.18823529411764706	0.2	0.21568627450980393	0.18823529411764706	0.027450980392156876	334.2857142857143	5.834386356666759
21	38,36,38	0.14901960784313725	0.1411764705882353	0.14901960784313725	0.14901960784313725	0.1411764705882353	0.00784313725490196	300.0	5.235987755982989
22	104,99,88	0.40784313725490196	0.38823529411764707	0.34509803921568627	0.40784313725490196	0.34509803921568627	0.06274509803921569	41.250000000000014	0.7199483164476612
23	50,47,37	0.19607843137254902	0.1843137254901961	0.1450980392156863	0.19607843137254902	0.1450980392156863	0.05098039215686273	46.15384615384617	0.8055365778435369
24	55,62,68	0.21568627450980393	0.24313725490196078	0.26666666666666666	0.26666666666666666	0.21568627450980393	0.05098039215686273	207.6923076923077	3.6249146002959156
25	88,82,71	0.34509803921568627	0.3215686274509804	0.2784313725490196	0.34509803921568627	0.2784313725490196	0.06666666666666665	38.823529411764724	0.6775984154801518
26	72,69,76	0.2823529411764706	0.27058823529411763	0.2980392156862745	0.2980392156862745	0.27058823529411763	0.027450980392156876	265.7142857142857	4.637589155299219
27	81,86,58	0.3176470588235294	0.33725490196078434	0.22745098039215686	0.33725490196078434	0.22745098039215686	0.10980392156862748	70.71428571428572	1.234197113910276
28	72,64,53	0.2823529411764706	0.25098039215686274	0.20784313725490197	0.2823529411764706	0.20784313725490197	0.07450980392156861	34.73684210526315	0.6062722664822406
29	77,69,61	0.30196078431372547	0.27058823529411763	0.23921568627450981	0.30196078431372547	0.23921568627450981	0.06274509803921566	29.999999999999986	0.5235987755982986
30	174,183,181	0.6823529411764706	0.7176470588235294	0.7098039215686275	0.7176470588235294	0.6823529411764706	0.03529411764705881	166.6666666666667	2.9088820866572167
31	183,184,176	0.7176470588235294	0.7215686274509804	0.6901960784313725	0.7215686274509804	0.6901960784313725	0.03137254901960784	67.49999999999997	1.178097245096172
32	163,162,157	0.6392156862745098	0.6352941176470588	0.615686274509804	0.6392156862745098	0.615686274509804	0.0235294117647058	50.0	0.8726646259971648
33	90,81,79	0.35294117647058826	0.3176470588235294	0.30980392156862746	0.35294117647058826	0.30980392156862746	0.0431372549019608	10.909090909090867	0.19039955476301704
34	96,88,88	0.3764705882352941	0.34509803921568627	0.34509803921568627	0.3764705882352941	0.34509803921568627	0.03137254901960784	0.0	0.0
35	108,103,102	0.4235294117647059	0.403921568627451	0.4	0.4235294117647059	0.4	0.023529411764705854	9.999999999999977	0.17453292519943256
36	153,145,111	0.6	0.5686274509803921	0.43529411764705883	0.6	0.43529411764705883	0.16470588235294115	48.57142857142857	0.8477313509686744
37	173,161,139	0.6784313725490196	0.6313725490196078	0.5450980392156862	0.6784313725490196	0.5450980392156862	0.13333333333333341	38.823529411764696	0.6775984154801513
38	85,78,67	0.3333333333333333	0.3058823529411765	0.2627450980392157	0.3333333333333333	0.2627450980392157	0.07058823529411762	36.66666666666669	0.6399540590645879
39	68,60,51	0.26666666666666666	0.23529411764705882	0.2	0.26666666666666666	0.2	0.06666666666666665	31.764705882352935	0.5543987035746692
40	158,148,133	0.6196078431372549	0.5803921568627451	0.5215686274509804	0.6196078431372549	0.5215686274509804	0.0980392156862745	36.000000000000014	0.6283185307179588
41	45,39,39	0.17647058823529413	0.15294117647058825	0.15294117647058825	0.17647058823529413	0.15294117647058825	0.023529411764705882	0.0	0.0
42	101,85,74	0.396078431372549	0.3333333333333333	0.2901960784313726	0.396078431372549	0.2901960784313726	0.10588235294117643	24.44444444444443	0.4266360393763914
43	126,108,92	0.49411764705882355	0.4235294117647059	0.3607843137254902	0.49411764705882355	0.3607843137254902	0.13333333333333336	28.23529411764705	0.4927988476219282
44	35,34,33	0.13725490196078433	0.13333333333333333	0.12941176470588237	0.13725490196078433	0.12941176470588237	0.00784313725490196	29.999999999999893	0.523598775598297
45	104,71,63	0.40784313725490196	0.2784313725490196	0.24705882352941178	0.40784313725490196	0.24705882352941178	0.16078431372549018	11.707317073170731	0.20433122950177515
46	58,37,25	0.22745098039215686	0.1450980392156863	0.09803921568627451	0.22745098039215686	0.09803921568627451	0.12941176470588234	21.818181818181827	0.3807991095260357
47	68,47,28	0.26666666666666666	0.1843137254901961	0.10980392156862745	0.26666666666666666	0.10980392156862745	0.1568627450980392	28.500000000000007	0.49741883681838406
48	43,26,16	0.16862745098039217	0.10196078431372549	0.06274509803921569	0.16862745098039217	0.06274509803921569	0.10588235294117648	22.222222222222218	0.3878509448876287
49	76,70,56	0.2980392156862745	0.27450980392156865	0.2196078431372549	0.2980392156862745	0.2196078431372549	0.0784313725490196	42.00000000000002	0.7330382858376188
50	124,142,135	0.48627450980392156	0.5568627450980392	0.5294117647058824	0.5568627450980392	0.48627450980392156	0.07058823529411767	156.66666666666666	2.7343491614577826
51	42,37,33	0.16470588235294117	0.1450980392156863	0.12941176470588237	0.16470588235294117	0.12941176470588237	0.03529411764705881	26.66666666666668	0.46542113386515477
52	50,24,22	0.19607843137254902	0.09411764705882353	0.08627450980392157	0.19607843137254902	0.08627450980392157	0.10980392156862745	4.285714285714286	0.07479982508547127
53	17,16,13	0.06666666666666667	0.06274509803921569	0.050980392156862744	0.06666666666666667	0.050980392156862744	0.01568627450980392	45.0	0.7853981633974483
