i	rgb	r	g	b	maxRGB	minRGB	c	h	theta
1	0,0,0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0,0,0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0,0,0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	4,3,3	0.01568627450980392	0.011764705882352941	0.011764705882352941	0.01568627450980392	0.011764705882352941	0.00392156862745098	0.0	0.0
5	99,62,52	0.38823529411764707	0.24313725490196078	0.20392156862745098	0.38823529411764707	0.20392156862745098	0.1843137254901961	12.765957446808509	0.22280798961629736
6	100,63,53	0.39215686274509803	0.24705882352941178	0.20784313725490197	0.39215686274509803	0.20784313725490197	0.18431372549019606	12.765957446808512	0.2228079896162974
7	94,65,55	0.3686274509803922	0.2549019607843137	0.21568627450980393	0.3686274509803922	0.21568627450980393	0.15294117647058825	15.384615384615373	0.26851219261451204
8	75,47,38	0.29411764705882354	0.1843137254901961	0.14901960784313725	0.29411764705882354	0.14901960784313725	0.1450980392156863	14.594594594594598	0.25472372866944276
9	65,55,61	0.2549019607843137	0.21568627450980393	0.23921568627450981	0.2549019607843137	0.21568627450980393	0.039215686274509776	323.99999999999994	5.654866776461627
10	82,71,80	0.3215686274509804	0.2784313725490196	0.3137254901960784	0.3215686274509804	0.2784313725490196	0.0431372549019608	310.90909090909093	5.426387310746007
11	36,49,67	0.1411764705882353	0.19215686274509805	0.2627450980392157	0.2627450980392157	0.1411764705882353	0.1215686274509804	214.83870967741936	3.749642844607173
12	50,48,63	0.19607843137254902	0.18823529411764706	0.24705882352941178	0.24705882352941178	0.18823529411764706	0.05882352941176472	247.99999999999997	4.328416544945937
13	18,12,14	0.07058823529411765	0.047058823529411764	0.054901960784313725	0.07058823529411765	0.047058823529411764	0.023529411764705882	340.0	5.934119456780721
14	33,17,17	0.12941176470588237	0.06666666666666667	0.06666666666666667	0.12941176470588237	0.06666666666666667	0.0627450980392157	0.0	0.0
15	9,6,8	0.03529411764705882	0.023529411764705882	0.03137254901960784	0.03529411764705882	0.023529411764705882	0.011764705882352941	320.0	5.585053606381854
16	19,13,13	0.07450980392156863	0.050980392156862744	0.050980392156862744	0.07450980392156863	0.050980392156862744	0.023529411764705882	0.0	0.0
17	22,15,13	0.08627450980392157	0.058823529411764705	0.050980392156862744	0.08627450980392157	0.050980392156862744	0.03529411764705882	13.333333333333332	0.23271056693257725
18	12,8,9	0.047058823529411764	0.03137254901960784	0.03529411764705882	0.047058823529411764	0.03137254901960784	0.01568627450980392	345.0	6.021385919380437
19	12,8,11	0.047058823529411764	0.03137254901960784	0.043137254901960784	0.047058823529411764	0.03137254901960784	0.01568627450980392	315.0	5.497787143782138
20	19,12,12	0.07450980392156863	0.047058823529411764	0.047058823529411764	0.07450980392156863	0.047058823529411764	0.027450980392156862	0.0	0.0
21	18,10,11	0.07058823529411765	0.0392156862745098	0.043137254901960784	0.07058823529411765	0.0392156862745098	0.03137254901960784	352.5	6.152285613280012
22	16,10,11	0.06274509803921569	0.0392156862745098	0.043137254901960784	0.06274509803921569	0.0392156862745098	0.023529411764705882	350.0	6.1086523819801535
23	16,11,11	0.06274509803921569	0.043137254901960784	0.043137254901960784	0.06274509803921569	0.043137254901960784	0.0196078431372549	0.0	0.0
24	19,12,13	0.07450980392156863	0.047058823529411764	0.050980392156862744	0.07450980392156863	0.047058823529411764	0.027450980392156862	351.4285714285714	6.133585657008643
25	29,18,17	0.11372549019607843	0.07058823529411765	0.06666666666666667	0.11372549019607843	0.06666666666666667	0.047058823529411764	5.0	0.08726646259971647
26	18,9,8	0.07058823529411765	0.03529411764705882	0.03137254901960784	0.07058823529411765	0.03137254901960784	0.0392156862745098	6.0	0.10471975511965978
27	32,17,12	0.12549019607843137	0.06666666666666667	0.047058823529411764	0.12549019607843137	0.047058823529411764	0.0784313725490196	15.0	0.2617993877991494
28	34,19,17	0.13333333333333333	0.07450980392156863	0.06666666666666667	0.13333333333333333	0.06666666666666667	0.06666666666666667	7.0588235294117645	0.12319971190548208
29	33,18,13	0.12941176470588237	0.07058823529411765	0.050980392156862744	0.12941176470588237	0.050980392156862744	0.07843137254901962	14.999999999999996	0.26179938779914935
30	18,11,11	0.07058823529411765	0.043137254901960784	0.043137254901960784	0.07058823529411765	0.043137254901960784	0.027450980392156862	0.0	0.0
31	16,10,10	0.06274509803921569	0.0392156862745098	0.0392156862745098	0.06274509803921569	0.0392156862745098	0.023529411764705882	0.0	0.0
32	21,12,10	0.08235294117647059	0.047058823529411764	0.0392156862745098	0.08235294117647059	0.0392156862745098	0.043137254901960784	10.90909090909091	0.1903995547630178
33	19,11,10	0.07450980392156863	0.043137254901960784	0.0392156862745098	0.07450980392156863	0.0392156862745098	0.03529411764705882	6.666666666666666	0.11635528346628862
34	21,14,12	0.08235294117647059	0.054901960784313725	0.047058823529411764	0.08235294117647059	0.047058823529411764	0.03529411764705882	13.333333333333332	0.23271056693257725
35	17,11,11	0.06666666666666667	0.043137254901960784	0.043137254901960784	0.06666666666666667	0.043137254901960784	0.023529411764705882	0.0	0.0
36	19,12,9	0.07450980392156863	0.047058823529411764	0.03529411764705882	0.07450980392156863	0.03529411764705882	0.0392156862745098	18.0	0.3141592653589793
37	21,14,13	0.08235294117647059	0.054901960784313725	0.050980392156862744	0.08235294117647059	0.050980392156862744	0.03137254901960784	7.5	0.1308996938995747
38	24,15,15	0.09411764705882353	0.058823529411764705	0.058823529411764705	0.09411764705882353	0.058823529411764705	0.03529411764705882	0.0	0.0
39	29,18,14	0.11372549019607843	0.07058823529411765	0.054901960784313725	0.11372549019607843	0.054901960784313725	0.058823529411764705	16.0	0.2792526803190927
40	27,17,14	0.10588235294117647	0.06666666666666667	0.054901960784313725	0.10588235294117647	0.054901960784313725	0.050980392156862744	13.846153846153847	0.24166097335306103
41	27,17,14	0.10588235294117647	0.06666666666666667	0.054901960784313725	0.10588235294117647	0.054901960784313725	0.050980392156862744	13.846153846153847	0.24166097335306103
42	22,14,11	0.08627450980392157	0.054901960784313725	0.043137254901960784	0.08627450980392157	0.043137254901960784	0.043137254901960784	16.363636363636363	0.28559933214452665
43	19,12,12	0.07450980392156863	0.047058823529411764	0.047058823529411764	0.07450980392156863	0.047058823529411764	0.027450980392156862	0.0	0.0
44	17,11,11	0.06666666666666667	0.043137254901960784	0.043137254901960784	0.06666666666666667	0.043137254901960784	0.023529411764705882	0.0	0.0
45	18,12,11	0.07058823529411765	0.047058823529411764	0.043137254901960784	0.07058823529411765	0.043137254901960784	0.027450980392156862	8.571428571428571	0.14959965017094254
46	21,13,10	0.08235294117647059	0.050980392156862744	0.0392156862745098	0.08235294117647059	0.0392156862745098	0.043137254901960784	16.363636363636363	0.28559933214452665
47	29,18,15	0.11372549019607843	0.07058823529411765	0.058823529411764705	0.11372549019607843	0.058823529411764705	0.054901960784313725	12.857142857142856	0.22439947525641377
48	23,16,14	0.09019607843137255	0.06274509803921569	0.054901960784313725	0.09019607843137255	0.054901960784313725	0.03529411764705882	13.333333333333332	0.23271056693257725
49	21,15,15	0.08235294117647059	0.058823529411764705	0.058823529411764705	0.08235294117647059	0.058823529411764705	0.023529411764705882	0.0	0.0
50	71,53,53	0.2784313725490196	0.20784313725490197	0.20784313725490197	0.2784313725490196	0.20784313725490197	0.07058823529411765	0.0	0.0
51	94,74,71	0.3686274509803922	0.2901960784313726	0.2784313725490196	0.3686274509803922	0.2784313725490196	0.09019607843137256	7.826086956521747	0.1365909849386868
52	110,95,93	0.43137254901960786	0.37254901960784315	0.36470588235294116	0.43137254901960786	0.36470588235294116	0.06666666666666671	7.058823529411786	0.12319971190548246
53	49,38,39	0.19215686274509805	0.14901960784313725	0.15294117647058825	0.19215686274509805	0.14901960784313725	0.0431372549019608	354.54545454545456	6.187985529798078
54	51,41,42	0.2	0.1607843137254902	0.16470588235294117	0.2	0.1607843137254902	0.0392156862745098	354.0	6.178465552059927
