i	rgb	r	g	b	maxRGB	minRGB	c	h	theta
1	0,0,0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0,0,0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0,0,0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	84,86,82	0.32941176470588235	0.33725490196078434	0.3215686274509804	0.33725490196078434	0.3215686274509804	0.01568627450980392	90.00000000000011	1.5707963267948986
5	5,8,11	0.0196078431372549	0.03137254901960784	0.043137254901960784	0.043137254901960784	0.0196078431372549	0.023529411764705882	210.0	3.6651914291880923
6	5,7,7	0.0196078431372549	0.027450980392156862	0.027450980392156862	0.027450980392156862	0.0196078431372549	0.00784313725490196	180.0	3.141592653589793
7	47,47,31	0.1843137254901961	0.1843137254901961	0.12156862745098039	0.1843137254901961	0.12156862745098039	0.0627450980392157	60.0	1.0471975511965976
8	30,43,38	0.11764705882352941	0.16862745098039217	0.14901960784313725	0.16862745098039217	0.11764705882352941	0.05098039215686276	156.9230769230769	2.7388243646680244
9	52,80,76	0.20392156862745098	0.3137254901960784	0.2980392156862745	0.3137254901960784	0.20392156862745098	0.10980392156862745	171.42857142857144	2.991993003418851
10	58,82,73	0.22745098039215686	0.3215686274509804	0.28627450980392155	0.3215686274509804	0.22745098039215686	0.09411764705882356	157.49999999999997	2.7488935718910685
11	66,88,74	0.25882352941176473	0.34509803921568627	0.2901960784313726	0.34509803921568627	0.25882352941176473	0.08627450980392154	141.8181818181818	2.4751942119192307
12	112,117,96	0.4392156862745098	0.4588235294117647	0.3764705882352941	0.4588235294117647	0.3764705882352941	0.08235294117647057	74.28571428571428	1.2965303014815017
13	73,89,76	0.28627450980392155	0.34901960784313724	0.2980392156862745	0.34901960784313724	0.28627450980392155	0.06274509803921569	131.25	2.2907446432425576
14	112,127,108	0.4392156862745098	0.4980392156862745	0.4235294117647059	0.4980392156862745	0.4235294117647059	0.07450980392156864	107.36842105263158	1.873932460036017
15	57,70,59	0.2235294117647059	0.27450980392156865	0.23137254901960785	0.27450980392156865	0.2235294117647059	0.05098039215686276	129.23076923076923	2.2555024179619028
16	54,64,59	0.21176470588235294	0.25098039215686274	0.23137254901960785	0.25098039215686274	0.21176470588235294	0.0392156862745098	150.00000000000003	2.617993877991495
17	42,51,43	0.16470588235294117	0.2	0.16862745098039217	0.2	0.16470588235294117	0.03529411764705884	126.6666666666667	2.210750385859485
18	35,38,31	0.13725490196078433	0.14901960784313725	0.12156862745098039	0.14901960784313725	0.12156862745098039	0.027450980392156862	85.71428571428568	1.4959965017094248
19	80,89,73	0.3137254901960784	0.34901960784313724	0.28627450980392155	0.34901960784313724	0.28627450980392155	0.06274509803921569	93.74999999999999	1.6362461737446836
20	67,79,65	0.2627450980392157	0.30980392156862746	0.2549019607843137	0.30980392156862746	0.2549019607843137	0.05490196078431375	111.4285714285714	1.9447954522222524
21	70,82,68	0.27450980392156865	0.3215686274509804	0.26666666666666666	0.3215686274509804	0.26666666666666666	0.05490196078431375	111.4285714285714	1.9447954522222524
22	74,90,74	0.2901960784313726	0.35294117647058826	0.2901960784313726	0.35294117647058826	0.2901960784313726	0.06274509803921569	120.0	2.0943951023931953
23	51,63,52	0.2	0.24705882352941178	0.20392156862745098	0.24705882352941178	0.2	0.047058823529411764	124.99999999999999	2.1816615649929116
24	114,107,88	0.4470588235294118	0.4196078431372549	0.34509803921568627	0.4470588235294118	0.34509803921568627	0.10196078431372552	43.84615384615385	0.7652597489513598
25	90,107,103	0.35294117647058826	0.4196078431372549	0.403921568627451	0.4196078431372549	0.35294117647058826	0.06666666666666665	165.88235294117646	2.8951932297788288
26	31,57,67	0.12156862745098039	0.2235294117647059	0.2627450980392157	0.2627450980392157	0.12156862745098039	0.1411764705882353	196.66666666666666	3.4324808622555145
27	84,106,102	0.32941176470588235	0.41568627450980394	0.4	0.41568627450980394	0.32941176470588235	0.0862745098039216	169.0909090909091	2.9511930988267756
28	105,98,70	0.4117647058823529	0.3843137254901961	0.27450980392156865	0.4117647058823529	0.27450980392156865	0.13725490196078427	48.000000000000014	0.8377580409572785
29	95,86,79	0.37254901960784315	0.33725490196078434	0.30980392156862746	0.37254901960784315	0.30980392156862746	0.06274509803921569	26.250000000000014	0.45814892864851176
30	49,38,26	0.19215686274509805	0.14901960784313725	0.10196078431372549	0.19215686274509805	0.10196078431372549	0.09019607843137256	31.30434782608695	0.5463639397547465
31	28,19,12	0.10980392156862745	0.07450980392156863	0.047058823529411764	0.10980392156862745	0.047058823529411764	0.06274509803921569	26.25	0.45814892864851153
32	14,14,11	0.054901960784313725	0.054901960784313725	0.043137254901960784	0.054901960784313725	0.043137254901960784	0.011764705882352941	60.0	1.0471975511965976
33	18,19,15	0.07058823529411765	0.07450980392156863	0.058823529411764705	0.07450980392156863	0.058823529411764705	0.01568627450980392	75.0	1.3089969389957472
34	25,19,11	0.09803921568627451	0.07450980392156863	0.043137254901960784	0.09803921568627451	0.043137254901960784	0.054901960784313725	34.285714285714285	0.5983986006837702
35	26,18,9	0.10196078431372549	0.07058823529411765	0.03529411764705882	0.10196078431372549	0.03529411764705882	0.06666666666666667	31.764705882352942	0.5543987035746694
36	33,26,16	0.12941176470588237	0.10196078431372549	0.06274509803921569	0.12941176470588237	0.06274509803921569	0.06666666666666668	35.29411764705882	0.6159985595274103
37	17,18,15	0.06666666666666667	0.07058823529411765	0.058823529411764705	0.07058823529411765	0.058823529411764705	0.011764705882352941	80.00000000000001	1.3962634015954638
38	13,14,11	0.050980392156862744	0.054901960784313725	0.043137254901960784	0.054901960784313725	0.043137254901960784	0.011764705882352941	80.00000000000001	1.3962634015954638
39	35,32,25	0.13725490196078433	0.12549019607843137	0.09803921568627451	0.13725490196078433	0.09803921568627451	0.03921568627450982	41.999999999999986	0.7330382858376182
40	35,31,22	0.13725490196078433	0.12156862745098039	0.08627450980392157	0.13725490196078433	0.08627450980392157	0.05098039215686276	41.538461538461526	0.7249829200591829
41	36,31,24	0.1411764705882353	0.12156862745098039	0.09411764705882353	0.1411764705882353	0.09411764705882353	0.047058823529411764	35.0	0.6108652381980153
42	81,71,48	0.3176470588235294	0.2784313725490196	0.18823529411764706	0.3176470588235294	0.18823529411764706	0.12941176470588234	41.81818181818183	0.7298649599249016
43	51,45,34	0.2	0.17647058823529413	0.13333333333333333	0.2	0.13333333333333333	0.06666666666666668	38.82352941176471	0.6775984154801515
44	49,45,33	0.19215686274509805	0.17647058823529413	0.12941176470588237	0.19215686274509805	0.12941176470588237	0.06274509803921569	45.0	0.7853981633974483
45	51,44,29	0.2	0.17254901960784313	0.11372549019607843	0.2	0.11372549019607843	0.08627450980392158	40.9090909090909	0.7139983303613164
46	82,72,52	0.3215686274509804	0.2823529411764706	0.20392156862745098	0.3215686274509804	0.20392156862745098	0.11764705882352944	39.99999999999999	0.6981317007977317
47	79,72,55	0.30980392156862746	0.2823529411764706	0.21568627450980393	0.30980392156862746	0.21568627450980393	0.09411764705882353	42.499999999999986	0.7417649320975898
48	76,69,52	0.2980392156862745	0.27058823529411763	0.20392156862745098	0.2980392156862745	0.20392156862745098	0.09411764705882353	42.499999999999986	0.7417649320975898
49	75,68,51	0.29411764705882354	0.26666666666666666	0.2	0.29411764705882354	0.2	0.09411764705882353	42.499999999999986	0.7417649320975898
50	51,45,34	0.2	0.17647058823529413	0.13333333333333333	0.2	0.13333333333333333	0.06666666666666668	38.82352941176471	0.6775984154801515
51	54,47,35	0.21176470588235294	0.1843137254901961	0.13725490196078433	0.21176470588235294	0.13725490196078433	0.07450980392156861	37.89473684210527	0.6613879270715355
52	49,45,30	0.19215686274509805	0.17647058823529413	0.11764705882352941	0.19215686274509805	0.11764705882352941	0.07450980392156864	47.36842105263158	0.8267349088394194
53	52,49,35	0.20392156862745098	0.19215686274509805	0.13725490196078433	0.20392156862745098	0.13725490196078433	0.06666666666666665	49.41176470588236	0.8623979833383748
