i	rgb	r	g	b	maxRGB	minRGB	c	h	theta
1	4,5,4	0.01568627450980392	0.0196078431372549	0.01568627450980392	0.0196078431372549	0.01568627450980392	0.00392156862745098	120.0	2.0943951023931953
2	4,5,4	0.01568627450980392	0.0196078431372549	0.01568627450980392	0.0196078431372549	0.01568627450980392	0.00392156862745098	120.0	2.0943951023931953
3	4,5,4	0.01568627450980392	0.0196078431372549	0.01568627450980392	0.0196078431372549	0.01568627450980392	0.00392156862745098	120.0	2.0943951023931953
4	11,10,8	0.043137254901960784	0.0392156862745098	0.03137254901960784	0.043137254901960784	0.03137254901960784	0.011764705882352941	40.0	0.6981317007977318
5	14,28,56	0.054901960784313725	0.10980392156862745	0.2196078431372549	0.2196078431372549	0.054901960784313725	0.16470588235294117	220.0	3.839724354387525
6	180,174,159	0.7058823529411765	0.6823529411764706	0.6235294117647059	0.7058823529411765	0.6235294117647059	0.08235294117647063	42.85714285714285	0.7479982508547125
7	82,56,61	0.3215686274509804	0.2196078431372549	0.23921568627450981	0.3215686274509804	0.2196078431372549	0.10196078431372552	348.46153846153845	6.081801162718702
8	7,7,7	0.027450980392156862	0.027450980392156862	0.027450980392156862	0.027450980392156862	0.027450980392156862	0.0	0.0	0.0
9	4,4,4	0.01568627450980392	0.01568627450980392	0.01568627450980392	0.01568627450980392	0.01568627450980392	0.0	0.0	0.0
10	10,33,49	0.0392156862745098	0.12941176470588237	0.19215686274509805	0.19215686274509805	0.0392156862745098	0.15294117647058825	204.6153846153846	3.571212161773013
11	9,9,10	0.03529411764705882	0.03529411764705882	0.0392156862745098	0.0392156862745098	0.03529411764705882	0.00392156862745098	240.0	4.1887902047863905
12	18,34,42	0.07058823529411765	0.13333333333333333	0.16470588235294117	0.16470588235294117	0.07058823529411765	0.09411764705882353	200.0	3.490658503988659
13	11,13,13	0.043137254901960784	0.050980392156862744	0.050980392156862744	0.050980392156862744	0.043137254901960784	0.00784313725490196	180.0	3.141592653589793
14	11,14,15	0.043137254901960784	0.054901960784313725	0.058823529411764705	0.058823529411764705	0.043137254901960784	0.01568627450980392	195.0	3.4033920413889427
15	11,15,15	0.043137254901960784	0.058823529411764705	0.058823529411764705	0.058823529411764705	0.043137254901960784	0.01568627450980392	180.0	3.141592653589793
16	12,16,16	0.047058823529411764	0.06274509803921569	0.06274509803921569	0.06274509803921569	0.047058823529411764	0.01568627450980392	180.0	3.141592653589793
17	11,14,14	0.043137254901960784	0.054901960784313725	0.054901960784313725	0.054901960784313725	0.043137254901960784	0.011764705882352941	180.0	3.141592653589793
18	11,15,16	0.043137254901960784	0.058823529411764705	0.06274509803921569	0.06274509803921569	0.043137254901960784	0.0196078431372549	192.0	3.351032163829113
