i	rgb	r	g	b	maxRGB	minRGB	c	h	theta
1	0,0,0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0,0,0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0,0,0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	9,9,9	0.03529411764705882	0.03529411764705882	0.03529411764705882	0.03529411764705882	0.03529411764705882	0.0	0.0	0.0
5	1,1,1	0.00392156862745098	0.00392156862745098	0.00392156862745098	0.00392156862745098	0.00392156862745098	0.0	0.0	0.0
6	16,23,23	0.06274509803921569	0.09019607843137255	0.09019607843137255	0.09019607843137255	0.06274509803921569	0.027450980392156862	180.0	3.141592653589793
7	135,136,131	0.5294117647058824	0.5333333333333333	0.5137254901960784	0.5333333333333333	0.5137254901960784	0.019607843137254943	71.99999999999993	1.2566370614359161
8	146,145,136	0.5725490196078431	0.5686274509803921	0.5333333333333333	0.5725490196078431	0.5333333333333333	0.039215686274509776	54.000000000000014	0.9424777960769382
9	146,149,156	0.5725490196078431	0.5843137254901961	0.611764705882353	0.611764705882353	0.5725490196078431	0.03921568627450989	221.99999999999994	3.8746309394274108
10	81,75,65	0.3176470588235294	0.29411764705882354	0.2549019607843137	0.3176470588235294	0.2549019607843137	0.06274509803921569	37.50000000000003	0.654498469497874
11	106,88,70	0.41568627450980394	0.34509803921568627	0.27450980392156865	0.41568627450980394	0.27450980392156865	0.1411764705882353	29.999999999999986	0.5235987755982986
12	92,78,63	0.3607843137254902	0.3058823529411765	0.24705882352941178	0.3607843137254902	0.24705882352941178	0.11372549019607842	31.034482758620697	0.5416539057913438
13	82,82,55	0.3215686274509804	0.3215686274509804	0.21568627450980393	0.3215686274509804	0.21568627450980393	0.10588235294117648	60.0	1.0471975511965976
14	122,119,106	0.47843137254901963	0.4666666666666667	0.41568627450980394	0.47843137254901963	0.41568627450980394	0.06274509803921569	48.749999999999986	0.8508480103472355
15	100,94,88	0.39215686274509803	0.3686274509803922	0.34509803921568627	0.39215686274509803	0.34509803921568627	0.047058823529411764	30.000000000000032	0.5235987755982994
16	141,127,115	0.5529411764705883	0.4980392156862745	0.45098039215686275	0.5529411764705883	0.45098039215686275	0.10196078431372552	27.692307692307683	0.4833219467061219
17	128,116,109	0.5019607843137255	0.4549019607843137	0.42745098039215684	0.5019607843137255	0.42745098039215684	0.07450980392156864	22.105263157894743	0.3858096241250624
18	122,112,104	0.47843137254901963	0.4392156862745098	0.40784313725490196	0.47843137254901963	0.40784313725490196	0.07058823529411767	26.666666666666654	0.4654211338651543
19	110,96,85	0.43137254901960786	0.3764705882352941	0.3333333333333333	0.43137254901960786	0.3333333333333333	0.09803921568627455	26.4	0.460766922526503
20	106,90,79	0.41568627450980394	0.35294117647058826	0.30980392156862746	0.41568627450980394	0.30980392156862746	0.10588235294117648	24.44444444444445	0.4266360393763918
21	106,89,78	0.41568627450980394	0.34901960784313724	0.3058823529411765	0.41568627450980394	0.3058823529411765	0.10980392156862745	23.571428571428548	0.41139903797009153
22	135,116,101	0.5294117647058824	0.4549019607843137	0.396078431372549	0.5294117647058824	0.396078431372549	0.13333333333333336	26.470588235294116	0.4619989196455578
23	139,126,117	0.5450980392156862	0.49411764705882355	0.4588235294117647	0.5450980392156862	0.4588235294117647	0.08627450980392154	24.545454545454582	0.4283989982167906
24	129,117,108	0.5058823529411764	0.4588235294117647	0.4235294117647059	0.5058823529411764	0.4235294117647059	0.08235294117647057	25.714285714285708	0.4487989505128275
25	162,156,148	0.6352941176470588	0.611764705882353	0.5803921568627451	0.6352941176470588	0.5803921568627451	0.05490196078431364	34.285714285714334	0.5983986006837709
26	200,200,194	0.7843137254901961	0.7843137254901961	0.7607843137254902	0.7843137254901961	0.7607843137254902	0.02352941176470591	60.0	1.0471975511965976
27	111,108,100	0.43529411764705883	0.4235294117647059	0.39215686274509803	0.43529411764705883	0.39215686274509803	0.0431372549019608	43.636363636363626	0.7615982190520709
28	76,62,40	0.2980392156862745	0.24313725490196078	0.1568627450980392	0.2980392156862745	0.1568627450980392	0.1411764705882353	36.66666666666667	0.6399540590645876
29	117,102,86	0.4588235294117647	0.4	0.33725490196078434	0.4588235294117647	0.33725490196078434	0.12156862745098035	30.967741935483883	0.5404890586821152
30	91,79,67	0.3568627450980392	0.30980392156862746	0.2627450980392157	0.3568627450980392	0.2627450980392157	0.09411764705882353	30.0	0.5235987755982988
31	147,130,105	0.5764705882352941	0.5098039215686274	0.4117647058823529	0.5764705882352941	0.4117647058823529	0.16470588235294115	35.714285714285715	0.6233318757122606
32	110,95,76	0.43137254901960786	0.37254901960784315	0.2980392156862745	0.43137254901960786	0.2980392156862745	0.13333333333333336	33.529411764705884	0.5851986315510399
33	98,83,68	0.3843137254901961	0.3254901960784314	0.26666666666666666	0.3843137254901961	0.26666666666666666	0.11764705882352944	30.0	0.5235987755982988
34	90,74,60	0.35294117647058826	0.2901960784313726	0.23529411764705882	0.35294117647058826	0.23529411764705882	0.11764705882352944	28.000000000000007	0.4886921905584124
35	97,77,61	0.3803921568627451	0.30196078431372547	0.23921568627450981	0.3803921568627451	0.23921568627450981	0.14117647058823526	26.666666666666657	0.4654211338651544
36	91,72,50	0.3568627450980392	0.2823529411764706	0.19607843137254902	0.3568627450980392	0.19607843137254902	0.1607843137254902	32.195121951219505	0.5619108811298816
37	95,76,63	0.37254901960784315	0.2980392156862745	0.24705882352941178	0.37254901960784315	0.24705882352941178	0.12549019607843137	24.374999999999993	0.4254240051736177
38	111,92,74	0.43529411764705883	0.3607843137254902	0.2901960784313726	0.43529411764705883	0.2901960784313726	0.14509803921568626	29.189189189189182	0.5094474573388853
39	86,69,57	0.33725490196078434	0.27058823529411763	0.2235294117647059	0.33725490196078434	0.2235294117647059	0.11372549019607844	24.827586206896534	0.4333231246330746
40	92,74,58	0.3607843137254902	0.2901960784313726	0.22745098039215686	0.3607843137254902	0.22745098039215686	0.13333333333333333	28.235294117647072	0.49279884762192855
41	104,86,67	0.40784313725490196	0.33725490196078434	0.2627450980392157	0.40784313725490196	0.2627450980392157	0.14509803921568626	30.81081081081082	0.5377500938577126
42	84,69,55	0.32941176470588235	0.27058823529411763	0.21568627450980393	0.32941176470588235	0.21568627450980393	0.11372549019607842	28.9655172413793	0.5055436454052539
43	127,112,94	0.4980392156862745	0.4392156862745098	0.3686274509803922	0.4980392156862745	0.3686274509803922	0.12941176470588234	32.72727272727272	0.5711986642890532
44	92,78,63	0.3607843137254902	0.3058823529411765	0.24705882352941178	0.3607843137254902	0.24705882352941178	0.11372549019607842	31.034482758620697	0.5416539057913438
45	108,90,73	0.4235294117647059	0.35294117647058826	0.28627450980392155	0.4235294117647059	0.28627450980392155	0.13725490196078433	29.14285714285716	0.5086388105812049
46	116,92,63	0.4549019607843137	0.3607843137254902	0.24705882352941178	0.4549019607843137	0.24705882352941178	0.20784313725490194	32.83018867924528	0.5729948865037987
47	86,64,39	0.33725490196078434	0.25098039215686274	0.15294117647058825	0.33725490196078434	0.15294117647058825	0.1843137254901961	31.91489361702127	0.5570199740407433
48	80,60,39	0.3137254901960784	0.23529411764705882	0.15294117647058825	0.3137254901960784	0.15294117647058825	0.16078431372549018	30.731707317073173	0.5363694774421599
49	82,62,41	0.3215686274509804	0.24313725490196078	0.1607843137254902	0.3215686274509804	0.1607843137254902	0.1607843137254902	30.731707317073166	0.5363694774421597
50	99,77,58	0.38823529411764707	0.30196078431372547	0.22745098039215686	0.38823529411764707	0.22745098039215686	0.1607843137254902	27.80487804878048	0.4852866700667159
51	45,36,14	0.17647058823529413	0.1411764705882353	0.054901960784313725	0.17647058823529413	0.054901960784313725	0.1215686274509804	42.58064516129032	0.743172455687908
52	54,44,21	0.21176470588235294	0.17254901960784313	0.08235294117647059	0.21176470588235294	0.08235294117647059	0.12941176470588234	41.81818181818182	0.7298649599249015
