i	rgb	r	g	b	maxRGB	minRGB	c	h	theta
1	0,0,0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0,0,0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0,0,0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	93,90,97	0.36470588235294116	0.35294117647058826	0.3803921568627451	0.3803921568627451	0.35294117647058826	0.02745098039215682	265.71428571428567	4.637589155299217
5	4,8,11	0.01568627450980392	0.03137254901960784	0.043137254901960784	0.043137254901960784	0.01568627450980392	0.027450980392156862	205.71428571428572	3.5903916041026207
6	4,5,5	0.01568627450980392	0.0196078431372549	0.0196078431372549	0.0196078431372549	0.01568627450980392	0.00392156862745098	180.0	3.141592653589793
7	1,1,1	0.00392156862745098	0.00392156862745098	0.00392156862745098	0.00392156862745098	0.00392156862745098	0.0	0.0	0.0
8	1,1,0	0.00392156862745098	0.00392156862745098	0.0	0.00392156862745098	0.0	0.00392156862745098	60.0	1.0471975511965976
9	1,1,0	0.00392156862745098	0.00392156862745098	0.0	0.00392156862745098	0.0	0.00392156862745098	60.0	1.0471975511965976
10	1,1,1	0.00392156862745098	0.00392156862745098	0.00392156862745098	0.00392156862745098	0.00392156862745098	0.0	0.0	0.0
11	1,1,1	0.00392156862745098	0.00392156862745098	0.00392156862745098	0.00392156862745098	0.00392156862745098	0.0	0.0	0.0
12	73,69,74	0.28627450980392155	0.27058823529411763	0.2901960784313726	0.2901960784313726	0.27058823529411763	0.019607843137254943	287.9999999999999	5.026548245743667
13	24,23,19	0.09411764705882353	0.09019607843137255	0.07450980392156863	0.09411764705882353	0.07450980392156863	0.0196078431372549	48.0	0.8377580409572782
14	34,39,33	0.13333333333333333	0.15294117647058825	0.12941176470588237	0.15294117647058825	0.12941176470588237	0.023529411764705882	110.00000000000003	1.919862177193763
15	22,17,10	0.08627450980392157	0.06666666666666667	0.0392156862745098	0.08627450980392157	0.0392156862745098	0.047058823529411764	35.0	0.6108652381980153
16	37,33,22	0.1450980392156863	0.12941176470588237	0.08627450980392157	0.1450980392156863	0.08627450980392157	0.05882352941176472	44.0	0.767944870877505
17	84,81,72	0.32941176470588235	0.3176470588235294	0.2823529411764706	0.32941176470588235	0.2823529411764706	0.047058823529411764	44.99999999999998	0.785398163397448
18	15,13,11	0.058823529411764705	0.050980392156862744	0.043137254901960784	0.058823529411764705	0.043137254901960784	0.01568627450980392	30.0	0.5235987755982988
19	69,65,56	0.27058823529411763	0.2549019607843137	0.2196078431372549	0.27058823529411763	0.2196078431372549	0.05098039215686273	41.53846153846153	0.724982920059183
20	111,90,70	0.43529411764705883	0.35294117647058826	0.27450980392156865	0.43529411764705883	0.27450980392156865	0.16078431372549018	29.26829268292683	0.510828073754438
21	114,100,84	0.4470588235294118	0.39215686274509803	0.32941176470588235	0.4470588235294118	0.32941176470588235	0.11764705882352944	31.999999999999993	0.5585053606381853
22	37,34,28	0.1450980392156863	0.13333333333333333	0.10980392156862745	0.1450980392156863	0.10980392156862745	0.03529411764705884	39.999999999999986	0.6981317007977316
23	34,32,27	0.13333333333333333	0.12549019607843137	0.10588235294117647	0.13333333333333333	0.10588235294117647	0.027450980392156862	42.85714285714286	0.7479982508547127
24	40,36,29	0.1568627450980392	0.1411764705882353	0.11372549019607843	0.1568627450980392	0.11372549019607843	0.043137254901960784	38.18181818181818	0.6663984416705622
25	50,47,38	0.19607843137254902	0.1843137254901961	0.14901960784313725	0.19607843137254902	0.14901960784313725	0.047058823529411764	45.00000000000002	0.7853981633974487
26	22,18,12	0.08627450980392157	0.07058823529411765	0.047058823529411764	0.08627450980392157	0.047058823529411764	0.0392156862745098	36.0	0.6283185307179586
27	40,39,31	0.1568627450980392	0.15294117647058825	0.12156862745098039	0.1568627450980392	0.12156862745098039	0.03529411764705882	53.33333333333336	0.9308422677303095
28	11,11,9	0.043137254901960784	0.043137254901960784	0.03529411764705882	0.043137254901960784	0.03529411764705882	0.00784313725490196	60.0	1.0471975511965976
29	23,22,17	0.09019607843137255	0.08627450980392157	0.06666666666666667	0.09019607843137255	0.06666666666666667	0.023529411764705882	50.0	0.8726646259971648
30	80,79,73	0.3137254901960784	0.30980392156862746	0.28627450980392155	0.3137254901960784	0.28627450980392155	0.027450980392156876	51.428571428571466	0.8975979010256558
31	21,18,12	0.08235294117647059	0.07058823529411765	0.047058823529411764	0.08235294117647059	0.047058823529411764	0.03529411764705882	40.0	0.6981317007977318
32	33,32,24	0.12941176470588237	0.12549019607843137	0.09411764705882353	0.12941176470588237	0.09411764705882353	0.03529411764705884	53.33333333333331	0.9308422677303086
33	20,16,11	0.0784313725490196	0.06274509803921569	0.043137254901960784	0.0784313725490196	0.043137254901960784	0.03529411764705882	33.333333333333336	0.5817764173314433
34	37,33,26	0.1450980392156863	0.12941176470588237	0.10196078431372549	0.1450980392156863	0.10196078431372549	0.0431372549019608	38.18181818181819	0.6663984416705623
35	39,35,27	0.15294117647058825	0.13725490196078433	0.10588235294117647	0.15294117647058825	0.10588235294117647	0.04705882352941178	40.00000000000001	0.6981317007977319
36	26,24,19	0.10196078431372549	0.09411764705882353	0.07450980392156863	0.10196078431372549	0.07450980392156863	0.027450980392156862	42.85714285714286	0.7479982508547127
37	30,36,37	0.11764705882352941	0.1411764705882353	0.1450980392156863	0.1450980392156863	0.11764705882352941	0.027450980392156876	188.57142857142858	3.291192303760736
38	20,17,13	0.0784313725490196	0.06666666666666667	0.050980392156862744	0.0784313725490196	0.050980392156862744	0.027450980392156862	34.285714285714285	0.5983986006837702
39	46,40,31	0.1803921568627451	0.1568627450980392	0.12156862745098039	0.1803921568627451	0.12156862745098039	0.058823529411764705	36.0	0.6283185307179586
40	64,57,46	0.25098039215686274	0.2235294117647059	0.1803921568627451	0.25098039215686274	0.1803921568627451	0.07058823529411765	36.66666666666668	0.6399540590645877
41	128,113,98	0.5019607843137255	0.44313725490196076	0.3843137254901961	0.5019607843137255	0.3843137254901961	0.11764705882352938	29.999999999999986	0.5235987755982986
42	77,70,57	0.30196078431372547	0.27450980392156865	0.2235294117647059	0.30196078431372547	0.2235294117647059	0.07843137254901958	39.00000000000002	0.6806784082777889
43	89,93,92	0.34901960784313724	0.36470588235294116	0.3607843137254902	0.36470588235294116	0.34901960784313724	0.01568627450980392	165.00000000000006	2.879793265790645
44	70,69,59	0.27450980392156865	0.27058823529411763	0.23137254901960785	0.27450980392156865	0.23137254901960785	0.0431372549019608	54.54545454545449	0.9519977738150879
45	89,83,70	0.34901960784313724	0.3254901960784314	0.27450980392156865	0.34901960784313724	0.27450980392156865	0.07450980392156858	41.052631578947384	0.7165035876608303
46	65,65,61	0.2549019607843137	0.2549019607843137	0.23921568627450981	0.2549019607843137	0.23921568627450981	0.015686274509803894	60.0	1.0471975511965976
47	69,61,49	0.27058823529411763	0.23921568627450981	0.19215686274509805	0.27058823529411763	0.19215686274509805	0.07843137254901958	36.000000000000014	0.6283185307179588
48	75,73,73	0.29411764705882354	0.28627450980392155	0.28627450980392155	0.29411764705882354	0.28627450980392155	0.007843137254901988	0.0	0.0
49	49,46,41	0.19215686274509805	0.1803921568627451	0.1607843137254902	0.19215686274509805	0.1607843137254902	0.03137254901960784	37.49999999999997	0.654498469497873
50	75,74,70	0.29411764705882354	0.2901960784313726	0.27450980392156865	0.29411764705882354	0.27450980392156865	0.019607843137254888	48.000000000000036	0.8377580409572788
51	132,132,138	0.5176470588235295	0.5176470588235295	0.5411764705882353	0.5411764705882353	0.5176470588235295	0.0235294117647058	240.0	4.1887902047863905
52	120,117,111	0.47058823529411764	0.4588235294117647	0.43529411764705883	0.47058823529411764	0.43529411764705883	0.03529411764705881	39.99999999999997	0.6981317007977313
53	67,61,52	0.2627450980392157	0.23921568627450981	0.20392156862745098	0.2627450980392157	0.20392156862745098	0.05882352941176472	36.00000000000001	0.6283185307179587
